split,seed,mean_reward,cumulative_reward,accepted_events,replay_coverage,exploration_rate,fallback_rate,celular_selection_rate,telefone_selection_rate,absolute_lift_vs_fixed,relative_lift_vs_fixed
validation,1014,0.14916501556750636,527,3533,0.5720531088082902,0.10702720207253887,0.034974093264248704,0.8923251295336787,0.10767487046632124,0.006198654711237234,0.04335743509250428
validation,1015,0.10084507042253521,179,1775,0.28740284974093266,0.15236398963730569,0.034974093264248704,0.5238018134715026,0.47619818652849744,-0.042121290433733916,-0.294623785493711
validation,1016,0.16289156626506024,338,2075,0.33597797927461137,0.22020725388601037,0.034974093264248704,0.5966645077720207,0.40333549222797926,0.019925205408791113,0.139369885960956
validation,1017,0.10431235431235432,179,1716,0.2778497409326425,0.18442357512953367,0.034974093264248704,0.4996761658031088,0.5003238341968912,-0.03865400654391481,-0.27037133989005646
validation,1018,0.1459894532334166,526,3603,0.5833873056994818,0.07561528497409327,0.034974093264248704,0.9056023316062176,0.09439766839378239,0.003023092377147485,0.02114548037063588
validation,1019,0.1585014409221902,440,2776,0.4494818652849741,0.24546632124352333,0.034974093264248704,0.7376943005181347,0.2623056994818653,0.01553508006592108,0.1086624851669774
validation,1020,0.15433962264150944,409,2650,0.42908031088082904,0.17681347150259066,0.034974093264248704,0.7266839378238342,0.27331606217616583,0.011373261785240313,0.07955201291494293
validation,1021,0.10238095238095238,172,1680,0.27202072538860106,0.16305051813471502,0.034974093264248704,0.5,0.5,-0.04058540847531675,-0.2838808250572957
validation,1022,0.1519756838905775,450,2961,0.4794365284974093,0.17373704663212436,0.034974093264248704,0.7945272020725389,0.20547279792746115,0.009009323034308375,0.06301708304211419
validation,1023,0.0926016658500735,189,2041,0.33047279792746115,0.12807642487046633,0.034974093264248704,0.5655764248704663,0.43442357512953367,-0.05036469500619563,-0.35228353512355015
validation,1024,0.1453862660944206,542,3728,0.6036269430051814,0.04727979274611399,0.034974093264248704,0.9394430051813472,0.06055699481865285,0.0024199052381514707,0.01692639599733756
validation,1025,0.09403905447070915,183,1946,0.31509067357512954,0.12807642487046633,0.034974093264248704,0.5553756476683938,0.44462435233160624,-0.04892730638555998,-0.3422295013492644
validation,1026,0.1482322413233863,457,3083,0.499190414507772,0.15511658031088082,0.034974093264248704,0.7987370466321243,0.20126295336787564,0.005265880467117179,0.03683300348122604
validation,1027,0.09897109260166585,202,2041,0.33047279792746115,0.14378238341968913,0.034974093264248704,0.5782059585492227,0.4217940414507772,-0.04399526825460327,-0.30773160896802715
validation,1028,0.11748307447232179,295,2511,0.4065738341968912,0.1411917098445596,0.034974093264248704,0.6795660621761658,0.32043393782383417,-0.02548328638394734,-0.1782467304288937
validation,1029,0.1435995623632385,525,3656,0.5919689119170984,0.07626295336787564,0.034974093264248704,0.9132124352331606,0.08678756476683938,0.000633201506969383,0.0044290244444703366
test,1000,0.15841013824884792,550,3472,0.5620851546057957,0.08758296907884086,0.035777885705034804,0.8970373967945605,0.10296260320543954,0.0065373829897406865,0.043045133266907426
test,1001,0.1567116249197174,488,3114,0.5041282175813502,0.1614052128865145,0.035777885705034804,0.8079974097458313,0.1920025902541687,0.004838869660610173,0.03186134110989604
test,1002,0.13547802446760307,299,2207,0.35729318439371865,0.16318601262748908,0.035777885705034804,0.6349360531002105,0.36506394689978955,-0.016394730791504164,-0.10795044024541087
test,1003,0.15420054200542005,569,3690,0.597377367654201,0.047595920349684316,0.035777885705034804,0.9384814634936053,0.06151853650639469,0.0023277867463128155,0.015327217461363774
test,1004,0.15479256080114448,541,3495,0.565808644973288,0.09778209486805893,0.035777885705034804,0.8891047434029464,0.11089525659705358,0.002919805542037246,0.0192253412210493
test,1005,0.15258379888268156,437,2864,0.4636554961955642,0.18973611785656466,0.035777885705034804,0.7597539258539744,0.24024607414602558,0.0007110436235743256,0.004681837913332299
test,1006,0.12933753943217666,328,2536,0.41055528573741296,0.15913874048891047,0.035777885705034804,0.710862878419945,0.28913712158005506,-0.022535215826930577,-0.14838221502259355
test,1007,0.16322314049586778,553,3388,0.5484863202201716,0.11704711024769306,0.035777885705034804,0.8737251092763477,0.12627489072365225,0.011350385236760546,0.07473615144069698
test,1008,0.1605673758865248,566,3525,0.5706653715395823,0.09001133236198802,0.035777885705034804,0.894285251740327,0.10571474825967297,0.008694620627417576,0.057249377036611
test,1009,0.11388888888888889,246,2160,0.34968431277319084,0.1146187469645459,0.035777885705034804,0.6169661648049215,0.3830338351950785,-0.03798386637021835,-0.2501032282282282
test,1010,0.15601659751037344,564,3615,0.5852355512384653,0.061356645620851545,0.035777885705034804,0.922454265824834,0.07754573417516594,0.004143842251266211,0.027284961309857584
test,1011,0.12859980139026814,259,2014,0.32604824348389183,0.12773190869354056,0.035777885705034804,0.6053100210458151,0.3946899789541849,-0.023272953868839097,-0.15323982125124122
test,1012,0.15446255871787787,559,3619,0.5858831147806378,0.06297555447628299,0.035777885705034804,0.9214829205115752,0.0785170794884248,0.0025898034587706342,0.01705245588224313
test,1013,0.15499863797330427,569,3671,0.5943014408288814,0.04662457503642545,0.035777885705034804,0.9383195726080622,0.06168042739193783,0.0031258827141970313,0.02058224800665545
test,1014,0.15394139496491951,373,2423,0.39226161567103773,0.17678484701311317,0.035777885705034804,0.6660191031244941,0.3339808968755059,0.0020686397058122807,0.013620874279149105
test,1015,0.1579961464354528,574,3633,0.5881495871782418,0.06896551724137931,0.035777885705034804,0.9114456856079003,0.08855431439209972,0.006123391176345555,0.040319220955059076
test,1016,0.1528787031861375,547,3578,0.5792455884733689,0.0984296584102315,0.035777885705034804,0.893152015541525,0.10684798445847499,0.0010059479270302651,0.006623623343858063
test,1017,0.17659067710105478,519,2939,0.4757973126113,0.16448113971183423,0.035777885705034804,0.7563542172575684,0.2436457827424316,0.024717921841947543,0.16275415429039108
test,1018,0.1533624931656643,561,3658,0.5921968593168204,0.052614537801521775,0.035777885705034804,0.9316820463007933,0.06831795369920673,0.0014897379065570704,0.009809118850945035
test,1019,0.15909740074264495,557,3501,0.5667799902865469,0.08855431439209972,0.035777885705034804,0.8971992876801036,0.10280071231989639,0.007224645483537712,0.04757038529532095
test,1020,0.15761032722906035,525,3331,0.5392585397442125,0.12352274566941882,0.035777885705034804,0.8632022017160433,0.1367977982839566,0.005737571969953115,0.03777881003188723
test,1021,0.15293484114162628,568,3714,0.6012627489072365,0.046462684150882304,0.035777885705034804,0.9426906265177271,0.05730937348227295,0.0010620858825190482,0.006993261435910896
test,1022,0.1573182874211749,474,3013,0.48777723814149265,0.17014732070584426,0.035777885705034804,0.8107495548000647,0.18925044519993525,0.005445532162067668,0.03585588575631718
test,1023,0.1558011049723757,564,3620,0.586045005666181,0.06054719119313583,0.035777885705034804,0.9229399384814635,0.0770600615185365,0.00392834971326847,0.025866059429595432
test,1024,0.15609348914858096,561,3594,0.5818358426420592,0.06637526307268901,0.035777885705034804,0.9200259025416869,0.0799740974583131,0.004220733889473721,0.02779125118440636
test,1025,0.135632183908046,236,1740,0.28169014084507044,0.17192812044681885,0.035777885705034804,0.5295450866116238,0.47045491338837625,-0.016240571351061245,-0.1069353836595215
test,1026,0.16036893781612616,539,3361,0.5441152663105068,0.11801845556095192,0.035777885705034804,0.8602881657762668,0.1397118342237332,0.008496182557018922,0.0559427696068577
test,1027,0.16097560975609757,561,3485,0.5641897361178566,0.08272624251254654,0.035777885705034804,0.8997895418487939,0.10021045815120609,0.009102854496990331,0.05993737640079107
test,1028,0.15654139587454083,554,3539,0.5729318439371863,0.0796503156872268,0.035777885705034804,0.8926663428848955,0.10733365711510442,0.004668640615433595,0.030740474863108366
test,1029,0.15731030228254164,510,3242,0.5248502509308726,0.1278937995790837,0.035777885705034804,0.8442609681074955,0.15573903189250446,0.005437547023434408,0.03580330793470832
