split,event_index,baseline_cumulative_reward,baseline_cumulative_coverage,adaptive_cumulative_reward_mean,adaptive_cumulative_reward_lower,adaptive_cumulative_reward_upper,adaptive_cumulative_coverage_mean,adaptive_cumulative_exploration_rate_mean,adaptive_celular_selection_rate_mean,adaptive_telefone_selection_rate_mean
validation,126,0,0.0,0.26666666666666666,0.0,1.0,0.13068783068783066,0.13068783068783066,0.869312169312169,0.13068783068783066
validation,127,0,0.0,0.26666666666666666,0.0,1.0,0.12965879265091865,0.12965879265091865,0.870341207349081,0.12965879265091865
validation,128,0,0.0,0.26666666666666666,0.0,1.0,0.12916666666666668,0.12916666666666668,0.8708333333333333,0.12916666666666668
validation,129,0,0.0,0.3333333333333333,0.0,2.0,0.1286821705426357,0.1286821705426357,0.8713178294573647,0.1286821705426357
validation,130,0,0.0,0.3333333333333333,0.0,2.0,0.12871794871794873,0.12871794871794873,0.8712820512820512,0.12871794871794873
validation,131,0,0.0,0.3333333333333333,0.0,2.0,0.127735368956743,0.127735368956743,0.8722646310432569,0.127735368956743
validation,132,0,0.0,0.3333333333333333,0.0,2.0,0.127020202020202,0.127020202020202,0.8729797979797979,0.127020202020202
validation,133,0,0.0,0.3333333333333333,0.0,2.0,0.1268170426065163,0.1268170426065163,0.8731829573934837,0.1268170426065163
validation,134,0,0.0,0.3333333333333333,0.0,2.0,0.12636815920398012,0.12636815920398012,0.8736318407960201,0.12636815920398012
validation,135,0,0.0,0.3333333333333333,0.0,2.0,0.1261728395061728,0.1261728395061728,0.8738271604938274,0.1261728395061728
validation,136,0,0.0,0.3333333333333333,0.0,2.0,0.12573529411764706,0.12573529411764706,0.8742647058823532,0.12573529411764706
validation,137,0,0.0,0.3333333333333333,0.0,2.0,0.1253041362530414,0.1253041362530414,0.8746958637469586,0.1253041362530414
validation,138,0,0.0,0.3333333333333333,0.0,2.0,0.1246376811594203,0.1246376811594203,0.8753623188405796,0.1246376811594203
validation,139,0,0.0,0.3333333333333333,0.0,2.0,0.12446043165467625,0.12446043165467625,0.8755395683453239,0.12446043165467625
validation,140,0,0.0,0.3333333333333333,0.0,2.0,0.12380952380952381,0.12380952380952381,0.8761904761904761,0.12380952380952381
validation,141,0,0.0,0.3333333333333333,0.0,2.0,0.12340425531914892,0.12340425531914892,0.8765957446808509,0.12340425531914892
validation,142,0,0.0,0.3333333333333333,0.0,2.0,0.12276995305164316,0.12276995305164316,0.8772300469483568,0.12276995305164316
validation,143,0,0.0,0.3333333333333333,0.0,2.0,0.12214452214452215,0.12214452214452215,0.877855477855478,0.12214452214452215
validation,144,0,0.0,0.3333333333333333,0.0,2.0,0.12175925925925926,0.12175925925925926,0.8782407407407408,0.12175925925925926
validation,145,0,0.0,0.3333333333333333,0.0,2.0,0.12137931034482759,0.12137931034482759,0.8786206896551724,0.12137931034482759
validation,146,0,0.0,0.3333333333333333,0.0,2.0,0.12077625570776253,0.12077625570776253,0.8792237442922375,0.12077625570776253
validation,147,0,0.0,0.3333333333333333,0.0,2.0,0.12018140589569161,0.12018140589569161,0.8798185941043084,0.12018140589569161
validation,148,0,0.0,0.3333333333333333,0.0,2.0,0.11981981981981983,0.11981981981981983,0.8801801801801801,0.11981981981981983
validation,149,0,0.0,0.3333333333333333,0.0,2.0,0.11901565995525727,0.11901565995525727,0.8809843400447427,0.11901565995525727
validation,150,0,0.0,0.3333333333333333,0.0,2.0,0.11822222222222219,0.11822222222222219,0.8817777777777778,0.11822222222222219
validation,151,0,0.0,0.3333333333333333,0.0,2.0,0.11788079470198674,0.11788079470198674,0.8821192052980131,0.11788079470198674
validation,152,0,0.0,0.3333333333333333,0.0,2.0,0.11798245614035086,0.11798245614035086,0.8820175438596493,0.11798245614035086
validation,153,0,0.0,0.3333333333333333,0.0,2.0,0.11808278867102397,0.11808278867102397,0.8819172113289764,0.11808278867102397
validation,154,0,0.0,0.3333333333333333,0.0,2.0,0.11774891774891777,0.11774891774891777,0.8822510822510824,0.11774891774891777
validation,155,0,0.0,0.3333333333333333,0.0,2.0,0.11741935483870966,0.11741935483870966,0.8825806451612906,0.11741935483870966
validation,156,0,0.0,0.3333333333333333,0.0,2.0,0.1168803418803419,0.1168803418803419,0.883119658119658,0.1168803418803419
validation,157,0,0.0,0.3333333333333333,0.0,2.0,0.116135881104034,0.116135881104034,0.8838641188959661,0.116135881104034
validation,158,0,0.0,0.3333333333333333,0.0,2.0,0.11603375527426164,0.11603375527426164,0.8839662447257381,0.11603375527426164
validation,159,0,0.0,0.3333333333333333,0.0,2.0,0.11635220125786166,0.11635220125786166,0.8836477987421386,0.11635220125786166
validation,160,0,0.0,0.3333333333333333,0.0,2.0,0.11604166666666668,0.11604166666666668,0.8839583333333335,0.11604166666666668
